[2025-01-26 00:26:33,292: INFO: main: welcome to our datascience project: ]
[2025-01-26 00:27:15,756: INFO: main: welcome to our datascience project: ]
[2025-01-26 00:27:46,604: INFO: main: welcome to our datascience project: ]
[2025-01-26 00:27:46,605: WARNING: main: red light: ]
[2025-01-26 00:28:20,601: INFO: main: welcome to our datascience project: ]
[2025-01-26 00:28:20,602: WARNING: main: red light: ]
[2025-01-26 00:28:20,602: ERROR: main: value missing!: ]
[2025-01-26 00:29:25,200: INFO: main: welcome to our datascience project: ]
[2025-01-26 00:29:25,200: WARNING: main: red light: ]
[2025-01-26 00:29:25,200: ERROR: main: value missing!: ]
[2025-01-26 00:29:25,200: CRITICAL: main: this is serious: ]
